Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-05-23 11:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1716483624	394262075	4636	16	""	2024-05-23	11:00:24	5400.0928	446.47122	2104.2078	39.3456	55.0003	26.9169	51.1432	0.0020146	11.0743	54.5005	98.5	0.26661	24.0927	196
DATA	1716483625	394262075	4640	16	""	2024-05-23	11:00:25	5394.4878	446.35123	2103.7468	39.3468	55.0003	26.9185	51.1432	0.00202668	11.0736	54.5005	27.75	0.26661	24.0927	 71
DATA	1716483626	394262075	4644	16	""	2024-05-23	11:00:26	5390.1299	447.46466	2104.0737	39.3456	55.0001	26.9201	51.1432	0.0020284	11.0727	54.5005	-10.75	0.26661	24.0927	 38
DATA	1716483627	394262075	4648	16	""	2024-05-23	11:00:27	5399.9092	445.17639	2104.8132	39.3464	55.0003	26.9173	51.1433	0.0019826	11.0736	54.5005	-95.25	0.26661	24.0923	 71
DATA	1716483628	394262075	4652	16	""	2024-05-23	11:00:28	5399.3169	448.90726	2104.5378	39.3456	55.0001	26.9173	51.1432	0.00197674	11.0731	54.5005	-16	0.26661	24.0919	231
DATA	1716483629	394262075	4656	16	""	2024-05-23	11:00:29	5395.0522	447.87463	2103.594	39.346	54.9999	26.9152	51.1432	0.00199569	11.0733	54.5005	-54	0.26661	24.0923	154
DATA	1716483630	394262075	4660	16	""	2024-05-23	11:00:30	5401.7773	443.24902	2104.6438	39.346	55.0001	26.916	51.1432	0.00201002	11.0728	54.5005	92.25	0.26661	24.0923	166
DATA	1716483631	393908977	4664	16	""	2024-05-23	11:00:31	5400.6323	447.57095	2104.7332	39.346	55.0003	26.9185	51.1432	0.00199339	11.0729	54.5005	20.5	0.26661	24.0927	217
DATA	1716483632	393908977	4668	16	""	2024-05-23	11:00:32	5389.2734	445.73071	2105.2576	39.3456	54.9995	26.9181	51.1432	0.00205022	11.074	54.5005	-41.25	0.26661	24.0938	 80
DATA	1716483633	393908977	4672	16	""	2024-05-23	11:00:33	5390.521	449.3223	2106.6213	39.3464	54.9995	26.9156	51.1433	0.00200706	11.074	54.5005	-59.5	0.26661	24.0934	171
DATA	1716483634	393908977	4676	16	""	2024-05-23	11:00:34	5403.3135	449.14737	2108.033	39.346	54.9995	26.9152	51.1435	0.00203386	11.0762	54.5005	25	0.26661	24.0931	 83
DATA	1716483635	393908977	4680	8	""	2024-05-23	11:00:35	5412.0122	452.96002	2108.4392	39.3452	54.9995	26.9169	51.1432	0.00199466	11.0744	54.5005	90.25	0.26661	24.0927	 42
DATA	1716483636	393908977	4684	8	""	2024-05-23	11:00:36	5413.0859	454.45047	2107.8328	39.3468	54.9997	26.9177	51.1432	0.00200607	11.0723	54.5005	-68	0.26661	24.0927	215
DATA	1716483637	393908977	4688	8	""	2024-05-23	11:00:37	5417.603	458.35629	2106.531	39.346	55.0001	26.9189	51.1432	0.00200808	11.0735	54.5005	55.75	0.26661	24.0931	133
DATA	1716483638	393908977	4692	8	""	2024-05-23	11:00:38	5417.6582	457.40329	2108.1504	39.346	55.0003	26.9197	51.1432	0.00199631	11.0735	54.5005	-36.5	0.26661	24.0946	240
DATA	1716483639	393565893	4696	8	""	2024-05-23	11:00:39	5425.5264	456.93381	2105.8562	39.346	55.0003	26.9206	51.1432	0.00201417	11.0723	54.5005	65.5	0.26661	24.0962	179
DATA	1716483640	393565893	4700	8	""	2024-05-23	11:00:40	5420.0444	461.27057	2105.7427	39.3472	55.0003	26.921	51.1432	0.00202133	11.0723	54.5005	-262.75	0.26661	24.0966	 20
DATA	1716483641	393565893	4704	8	""	2024-05-23	11:00:41	5412.9336	461.06216	2107.4663	39.3468	55.0003	26.9185	51.1432	0.00200858	11.0724	54.5005	-32.25	0.26661	24.0958	 51
DATA	1716483642	393565893	4708	8	""	2024-05-23	11:00:42	5413.7446	460.57523	2108.0537	39.3464	55.0003	26.9169	51.1432	0.00201491	11.0717	54.5005	66	0.26661	24.0954	120
