T,C,CT,,,,
5/23/2024 11:11:03,-40.39489,0,,,,
5/23/2024 11:11:04,-39.110619,0,,,,
5/23/2024 11:11:05,-41.198528,0,,,,
5/23/2024 11:11:06,-42.903881,0,,,,
5/23/2024 11:11:07,-32.531158,0,,,,
5/23/2024 11:11:08,-42.009151,0,,,,
5/23/2024 11:11:09,-36.696732,0,,,,
5/23/2024 11:11:10,-40.188251,0,,,,
5/23/2024 11:11:11,-40.153233,0,,,,
5/23/2024 11:11:12,-39.902744,0,,,,
5/23/2024 11:11:13,-41.030514,0,,,,
5/23/2024 11:11:14,-40.732109,0,,,,
5/23/2024 11:11:15,-37.275497,0,,,,
5/23/2024 11:11:16,-40.916904,0,,,,
5/23/2024 11:11:17,-38.625332,0,,,,
5/23/2024 11:11:18,-39.386681,0,,,,
5/23/2024 11:11:19,-40.178196,0,,,,
5/23/2024 11:11:20,-38.167187,0,,,,
5/23/2024 11:11:21,-41.507401,0,,,,
5/23/2024 11:11:22,-40.097691,0,,,,
5/23/2024 11:11:23,-42.226894,0,,,,
5/23/2024 11:11:24,-41.783157,0,,,,
5/23/2024 11:11:25,-36.470455,0,,,,
5/23/2024 11:11:26,-42.685013,0,,,,
5/23/2024 11:11:27,-41.660599,0,,,,
5/23/2024 11:11:28,-37.887218,0,,,,
5/23/2024 11:11:29,-39.143154,0,,,,
5/23/2024 11:11:30,-38.305248,0,,,,
5/23/2024 11:11:31,-39.66106,0,,,,
5/23/2024 11:11:32,-41.903336,0,,,,
5/23/2024 11:11:33,-39.849464,0,,,,
5/23/2024 11:11:34,-41.698807,0,,,,
5/23/2024 11:11:35,-39.665462,0,,,,
5/23/2024 11:11:36,-40.447357,0,,,,
5/23/2024 11:11:37,-43.057999,0,,,,
5/23/2024 11:11:38,-36.534122,0,,,,
5/23/2024 11:11:39,-41.741825,0,,,,
5/23/2024 11:11:40,-42.459305,0,,,,
5/23/2024 11:11:41,-40.307549,0,,,,
5/23/2024 11:11:42,-39.145115,0,,,,
5/23/2024 11:11:43,-37.970909,0,,,,
5/23/2024 11:11:44,-41.136822,0,,,,
5/23/2024 11:11:45,-39.462559,0,,,,
5/23/2024 11:11:46,-39.12804,0,,,,
5/23/2024 11:11:47,-41.202789,0,,,,
5/23/2024 11:11:48,-39.440708,0,,,,
5/23/2024 11:11:49,-38.352039,0,,,,
5/23/2024 11:11:50,-44.381596,0,,,,
5/23/2024 11:11:51,-38.541595,0,,,,
5/23/2024 11:11:52,-35.513119,0,,,,
5/23/2024 11:11:53,-38.693066,0,,,,
5/23/2024 11:11:54,-42.231277,0,,,,
5/23/2024 11:11:55,-40.76664,0,,,,
