DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2024-05-01                22:30:35.000              121.60457176              2918.509722               122.60457176              1714602635.000            0                         963                       1.4000273132E+02          4.5000572205E+01          3.6812500000E+01          4.5118949890E+01          4.5002281189E+01          0.0000000000E+00          3.3748082031E+04          1.2389407890E-01          4.2185451337E+02          4.2511269700E+02          1.9672728906E+00          1.9797655940E+00          4.9636451408E-01          
2024-05-01                22:30:40.000              121.60462963              2918.511111               122.60462963              1714602640.000            0                         963                       1.3999879456E+02          4.5000419617E+01          3.6812500000E+01          4.5118980408E+01          4.5002342224E+01          0.0000000000E+00          3.3748425781E+04          1.2301920111E-01          4.2184525124E+02          4.2514135523E+02          1.9674938017E+00          1.9798976171E+00          4.9176747047E-01          
2024-05-01                22:30:45.000              121.60468750              2918.512500               122.60468750              1714602645.000            0                         963                       1.4000177002E+02          4.5000419617E+01          3.6812500000E+01          4.5118980408E+01          4.5002342224E+01          0.0000000000E+00          3.3750554688E+04          1.2069934336E-01          4.2185365890E+02          4.2504431057E+02          1.9674863432E+00          1.9798600064E+00          4.9156840928E-01          
2024-05-01                22:30:50.000              121.60474537              2918.513889               122.60474537              1714602650.000            0                         963                       1.3999298096E+02          4.5000999451E+01          3.6812500000E+01          4.5119071960E+01          4.5002372742E+01          0.0000000000E+00          3.3748054688E+04          1.2792868077E-01          4.2177979497E+02          4.2506289352E+02          1.9678001662E+00          1.9801710878E+00          4.9140298377E-01          
2024-05-01                22:30:55.000              121.60480324              2918.515278               122.60480324              1714602655.000            0                         963                       1.3999798857E+02          4.5000302557E+01          3.6812500000E+01          4.5119071960E+01          4.5002372742E+01          0.0000000000E+00          3.3746975484E+04          1.2193601419E-01          4.2171599849E+02          4.2498017045E+02          1.9675166031E+00          1.9798223096E+00          4.9102291399E-01          
2024-05-01                22:31:00.000              121.60486111              2918.516667               122.60486111              1714602660.000            0                         963                       1.4000480652E+02          4.4999900818E+01          3.6812500000E+01          4.5119071960E+01          4.5002372742E+01          0.0000000000E+00          3.3750035156E+04          1.2386654718E-01          4.2171836120E+02          4.2495067372E+02          1.9678843444E+00          1.9799741494E+00          4.9040221942E-01          
2024-05-01                22:31:05.000              121.60491898              2918.518056               122.60491898              1714602665.000            0                         963                       1.3999621198E+02          4.4999900818E+01          3.6812500000E+01          4.5118949890E+01          4.5002372742E+01          0.0000000000E+00          3.3747528518E+04          1.2481486353E-01          4.2166725086E+02          4.2489108975E+02          1.9677381247E+00          1.9799941431E+00          4.8848392072E-01          
2024-05-01                22:31:10.000              121.60497685              2918.519444               122.60497685              1714602670.000            0                         963                       1.4000032043E+02          4.4999900818E+01          3.6812500000E+01          4.5118949890E+01          4.5002372742E+01          0.0000000000E+00          3.3746042969E+04          1.2463721976E-01          4.2156745413E+02          4.2481527282E+02          1.9677949467E+00          1.9801144429E+00          4.9473811610E-01          
2024-05-01                22:31:15.000              121.60503472              2918.520833               122.60503472              1714602675.000            0                         963                       1.4000166492E+02          4.5000079655E+01          3.6812500000E+01          4.5119036108E+01          4.5001973879E+01          0.0000000000E+00          3.3747023219E+04          1.2070209218E-01          4.2133334925E+02          4.2463048613E+02          1.9673573943E+00          1.9801445462E+00          5.0320512196E-01          
2024-05-01                22:31:20.000              121.60509259              2918.522222               122.60509259              1714602680.000            0                         963                       1.4000114441E+02          4.4999992371E+01          3.6812500000E+01          4.5118888855E+01          4.5001914978E+01          0.0000000000E+00          3.3748117188E+04          1.2874144040E-01          4.2127569564E+02          4.2461055204E+02          1.9673137774E+00          1.9801296661E+00          5.0790251069E-01          
2024-05-01                22:31:25.000              121.60515046              2918.523611               122.60515046              1714602685.000            0                         963                       1.3999826028E+02          4.5000734609E+01          3.6812500000E+01          4.5118888855E+01          4.5001914978E+01          0.0000000000E+00          3.3745666958E+04          1.2782475444E-01          4.2144780464E+02          4.2481590162E+02          1.9676774249E+00          1.9805743440E+00          5.1112954644E-01          
2024-05-01                22:31:30.000              121.60520833              2918.525000               122.60520833              1714602690.000            0                         963                       1.4000128174E+02          4.5001426697E+01          3.6812500000E+01          4.5118888855E+01          4.5001914978E+01          0.0000000000E+00          3.3745953125E+04          1.3340873971E-01          4.2159413605E+02          4.2496712692E+02          1.9677200802E+00          1.9805599228E+00          5.1078043014E-01          
2024-05-01                22:31:35.000              121.60526620              2918.526389               122.60526620              1714602695.000            0                         963                       1.3999969482E+02          4.5000419617E+01          3.6812500000E+01          4.5118736267E+01          4.5001609802E+01          0.0000000000E+00          3.3746937500E+04          1.3880844218E-01          4.2168686030E+02          4.2506908103E+02          1.9680040327E+00          1.9807797987E+00          5.1270840021E-01          
2024-05-01                22:31:40.000              121.60532407              2918.527778               122.60532407              1714602700.000            0                         963                       1.3999934387E+02          4.5000602722E+01          3.6812500000E+01          4.5118736267E+01          4.5001670837E+01          0.0000000000E+00          3.3744664062E+04          1.3356953652E-01          4.2188757312E+02          4.2526514805E+02          1.9679294323E+00          1.9810823941E+00          5.1262898108E-01          
2024-05-01                22:31:45.000              121.60538194              2918.529167               122.60538194              1714602705.000            0                         963                       1.4000349426E+02          4.5000724792E+01          3.6812500000E+01          4.5118583679E+01          4.5001640320E+01          0.0000000000E+00          3.3746347656E+04          1.4049536558E-01          4.2186074076E+02          4.2525837756E+02          1.9681810965E+00          1.9811406114E+00          5.1557214952E-01          
2024-05-01                22:31:50.000              121.60543981              2918.530556               122.60543981              1714602710.000            0                         963                       1.3999533081E+02          4.5000602722E+01          3.6875000000E+01          4.5118522644E+01          4.5001609802E+01          0.0000000000E+00          3.3745253906E+04          1.4078799582E-01          4.2188329589E+02          4.2529672268E+02          1.9683310688E+00          1.9811813000E+00          5.1800195782E-01          
2024-05-01                22:31:55.000              121.60549769              2918.531944               122.60549769              1714602715.000            0                         963                       1.4000091137E+02          4.4999382019E+01          3.6812500000E+01          4.5118675232E+01          4.5001457214E+01          0.0000000000E+00          3.3746334872E+04          1.4186344374E-01          4.2189433616E+02          4.2532708124E+02          1.9680208642E+00          1.9812502367E+00          5.2113464007E-01          
2024-05-01                22:32:00.000              121.60555556              2918.533333               122.60555556              1714602720.000            0                         963                       1.4000100708E+02          4.5000236511E+01          3.6812500000E+01          4.5118461609E+01          4.5001457214E+01          0.0000000000E+00          3.3746664062E+04          1.2976250797E-01          4.2179093305E+02          4.2524636331E+02          1.9681229523E+00          1.9812434052E+00          5.2408391594E-01          
2024-05-01                22:32:05.000              121.60561343              2918.534722               122.60561343              1714602725.000            0                         963                       1.4000204468E+02          4.5000663757E+01          3.6812500000E+01          4.5118431091E+01          4.5001457214E+01          0.0000000000E+00          3.3746542969E+04          1.3339210748E-01          4.2182420191E+02          4.2528632758E+02          1.9681082979E+00          1.9813147429E+00          5.2410938388E-01          
2024-05-01                22:32:10.000              121.60567130              2918.536111               122.60567130              1714602730.000            0                         963                       1.3999768066E+02          4.5000846863E+01          3.6812500000E+01          4.5118461609E+01          4.5001518250E+01          0.0000000000E+00          3.3744425781E+04          1.4964010259E-01          4.2169214158E+02          4.2517490752E+02          1.9676882929E+00          1.9809393138E+00          5.2711162692E-01          
2024-05-01                22:32:15.000              121.60572917              2918.537500               122.60572917              1714602735.000            0                         963                       1.4000043030E+02          4.5001222839E+01          3.6812500000E+01          4.5118410339E+01          4.5001484070E+01          0.0000000000E+00          3.3744962813E+04          1.6731177881E-01          4.2152922076E+02          4.2505621437E+02          1.9681577882E+00          1.9814866118E+00          5.3074110659E-01          
2024-05-01                22:32:20.000              121.60578704              2918.538889               122.60578704              1714602740.000            0                         963                       1.4000169373E+02          4.5001274109E+01          3.6812500000E+01          4.5118339539E+01          4.5001457214E+01          0.0000000000E+00          3.3746257812E+04          1.7890507158E-01          4.2145466232E+02          4.2496828455E+02          1.9678940299E+00          1.9812341506E+00          5.2976596627E-01          
2024-05-01                22:32:25.000              121.60584491              2918.540278               122.60584491              1714602745.000            0                         963                       1.3999693298E+02          4.4999534607E+01          3.6812500000E+01          4.5118339539E+01          4.5001457214E+01          0.0000000000E+00          3.3743250000E+04          1.7970421007E-01          4.2157096083E+02          4.2507946976E+02          1.9678473112E+00          1.9811586582E+00          5.3455451621E-01          
2024-05-01                22:32:30.000              121.60590278              2918.541667               122.60590278              1714602750.000            0                         963                       1.4000076772E+02          4.5000398209E+01          3.6812500000E+01          4.5118339539E+01          4.5001547173E+01          0.0000000000E+00          3.3743132871E+04          1.9081978906E-01          4.2149140816E+02          4.2504318204E+02          1.9677637618E+00          1.9811577450E+00          5.3516321253E-01          
2024-05-01                22:32:35.000              121.60596065              2918.543056               122.60596065              1714602755.000            0                         963                       1.4000232753E+02          4.5000999451E+01          3.6874067164E+01          4.5118339539E+01          4.5001609802E+01          0.0000000000E+00          3.3745731985E+04          1.7309946229E-01          4.2131931265E+02          4.2486160215E+02          1.9677730327E+00          1.9814268066E+00          5.3603001610E-01          
2024-05-01                22:32:40.000              121.60601852              2918.544444               122.60601852              1714602760.000            0                         963                       1.3999994547E+02          4.4999186322E+01          3.6872377622E+01          4.5118275943E+01          4.5001461056E+01          0.0000000000E+00          3.3744801710E+04          1.5326491012E-01          4.2146077099E+02          4.2497428324E+02          1.9675899073E+00          1.9812072358E+00          5.3174016118E-01          
2024-05-01                22:32:45.000              121.60607639              2918.545833               122.60607639              1714602765.000            0                         963                       1.3999832260E+02          4.5000163312E+01          3.6861013986E+01          4.5118278503E+01          4.5001457214E+01          0.0000000000E+00          3.3744413462E+04          1.4786111690E-01          4.2157852975E+02          4.2506315518E+02          1.9675882923E+00          1.9808616784E+00          5.2814278889E-01          
2024-05-01                22:32:50.000              121.60613426              2918.547222               122.60613426              1714602770.000            0                         963                       1.3999844360E+02          4.4999870300E+01          3.6812500000E+01          4.5118156433E+01          4.5001426697E+01          0.0000000000E+00          3.3743242188E+04          1.4723261936E-01          4.2157189398E+02          4.2503124130E+02          1.9674409524E+00          1.9807536404E+00          5.2332201953E-01          
2024-05-01                22:32:55.000              121.60619213              2918.548611               122.60619213              1714602775.000            0                         963                       1.4000322686E+02          4.5000018833E+01          3.6836975524E+01          4.5118156433E+01          4.5001426697E+01          0.0000000000E+00          3.3744622842E+04          1.4296957913E-01          4.2149696288E+02          4.2494106650E+02          1.9675306903E+00          1.9806196516E+00          5.2081057077E-01          
2024-05-01                22:33:00.000              121.60625000              2918.550000               122.60625000              1714602780.000            0                         963                       1.4000286865E+02          4.5000846863E+01          3.6812500000E+01          4.5118125916E+01          4.5001304626E+01          0.0000000000E+00          3.3747261719E+04          1.3219230562E-01          4.2140412587E+02          4.2482555208E+02          1.9676933993E+00          1.9804555715E+00          5.1789733878E-01          
2024-05-01                22:33:05.000              121.60630787              2918.551389               122.60630787              1714602785.000            0                         963                       1.4000091873E+02          4.5000846863E+01          3.6833479021E+01          4.5118125916E+01          4.5001304626E+01          0.0000000000E+00          3.3748591974E+04          1.3444598822E-01          4.2154746450E+02          4.2494980087E+02          1.9673873264E+00          1.9805103218E+00          5.1736725622E-01          
2024-05-01                22:33:10.000              121.60636574              2918.552778               122.60636574              1714602790.000            0                         963                       1.3999865723E+02          4.5000572205E+01          3.6875000000E+01          4.5118156433E+01          4.5001365662E+01          0.0000000000E+00          3.3745828125E+04          1.2739075979E-01          4.2167888519E+02          4.2508154815E+02          1.9675476419E+00          1.9802700111E+00          5.1630977719E-01          
2024-05-01                22:33:15.000              121.60642361              2918.554167               122.60642361              1714602795.000            0                         963                       1.3999830627E+02          4.5000419617E+01          3.6875000000E+01          4.5118278503E+01          4.5001518250E+01          0.0000000000E+00          3.3745808594E+04          1.2802132623E-01          4.2168532187E+02          4.2507628383E+02          1.9677490243E+00          1.9804418395E+00          5.1298916014E-01          
2024-05-01                22:33:20.000              121.60648148              2918.555556               122.60648148              1714602800.000            0                         963                       1.4000158062E+02          4.4998832703E+01          3.6875000000E+01          4.5118461609E+01          4.5001365662E+01          0.0000000000E+00          3.3746622514E+04          1.2551080010E-01          4.2160098916E+02          4.2497596849E+02          1.9677607256E+00          1.9806786325E+00          5.1166332115E-01          
2024-05-01                22:33:25.000              121.60653935              2918.556944               122.60653935              1714602805.000            0                         963                       1.3999769069E+02          4.5000602722E+01          3.6875000000E+01          4.5118156433E+01          4.5001365662E+01          0.0000000000E+00          3.3746402753E+04          1.2137137398E-01          4.2166844664E+02          4.2505521164E+02          1.9677153102E+00          1.9805082483E+00          5.1350843073E-01          
2024-05-01                22:33:30.000              121.60659722              2918.558333               122.60659722              1714602810.000            0                         963                       1.4000367715E+02          4.4999259949E+01          3.6875000000E+01          4.5118064880E+01          4.5001457214E+01          0.0000000000E+00          3.3747637921E+04          1.2995042453E-01          4.2162398202E+02          4.2502297428E+02          1.9675922756E+00          1.9805565550E+00          5.1647739132E-01          
2024-05-01                22:33:35.000              121.60665509              2918.559722               122.60665509              1714602815.000            0                         963                       1.4000065613E+02          4.4999565125E+01          3.6875000000E+01          4.5118156433E+01          4.5001243591E+01          0.0000000000E+00          3.3749468750E+04          1.2812455855E-01          4.2178973922E+02          4.2519739817E+02          1.9674335400E+00          1.9804609632E+00          5.1667413145E-01          
2024-05-01                22:33:40.000              121.60671296              2918.561111               122.60671296              1714602820.000            0                         963                       1.4000018663E+02          4.5000114441E+01          3.6875000000E+01          4.5118156433E+01          4.5001243591E+01          0.0000000000E+00          3.3749497296E+04          1.2312069379E-01          4.2178740995E+02          4.2518607561E+02          1.9677640710E+00          1.9807316761E+00          5.1606476445E-01          
2024-05-01                22:33:45.000              121.60677083              2918.562500               122.60677083              1714602825.000            0                         963                       1.3999955750E+02          4.4999534607E+01          3.6812500000E+01          4.5118064880E+01          4.5001426697E+01          0.0000000000E+00          3.3748652344E+04          1.2321694389E-01          4.2186504486E+02          4.2526416801E+02          1.9677945349E+00          1.9807926595E+00          5.1681112801E-01          
2024-05-01                22:33:50.000              121.60682870              2918.563889               122.60682870              1714602830.000            0                         963                       1.4000004578E+02          4.4999259949E+01          3.6875000000E+01          4.5118125916E+01          4.5001426697E+01          0.0000000000E+00          3.3747164062E+04          1.2208529736E-01          4.2187364795E+02          4.2523448997E+02          1.9675505119E+00          1.9805963276E+00          5.1981549863E-01          
