DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2024-05-15                21:54:05.000              135.57922454              3253.901389               136.57922454              1715810045.000            0                         963                       1.3999871826E+02          4.5001152039E+01          3.6562500000E+01          4.5116752625E+01          4.5000724792E+01          0.0000000000E+00          3.3582375000E+04          1.3419902974E-01          4.2038119099E+02          4.2329106997E+02          1.9661791525E+00          1.9773750019E+00          4.4308930819E-01          
2024-05-15                21:54:10.000              135.57928241              3253.902778               136.57928241              1715810050.000            0                         963                       1.3999865723E+02          4.4999168396E+01          3.6562500000E+01          4.5116661072E+01          4.5000541687E+01          0.0000000000E+00          3.3580492188E+04          1.4031412860E-01          4.2026097555E+02          4.2314832483E+02          1.9659746718E+00          1.9770396968E+00          4.3924508866E-01          
2024-05-15                21:54:15.000              135.57934028              3253.904167               136.57934028              1715810055.000            0                         963                       1.4000300598E+02          4.5000511169E+01          3.6562500000E+01          4.5116752625E+01          4.5000724792E+01          0.0000000000E+00          3.3582839844E+04          1.3749197067E-01          4.2034860264E+02          4.2320626801E+02          1.9659961663E+00          1.9769685683E+00          4.3601494249E-01          
2024-05-15                21:54:20.000              135.57939815              3253.905556               136.57939815              1715810060.000            0                         963                       1.3999942017E+02          4.5000572205E+01          3.6562500000E+01          4.5116661072E+01          4.5000816345E+01          0.0000000000E+00          3.3583269531E+04          1.4066294019E-01          4.2040022710E+02          4.2322383399E+02          1.9664951098E+00          1.9773910233E+00          4.3191107171E-01          
2024-05-15                21:54:25.000              135.57945602              3253.906944               136.57945602              1715810065.000            0                         963                       1.4000169373E+02          4.4998802185E+01          3.6562500000E+01          4.5116752625E+01          4.5000419617E+01          0.0000000000E+00          3.3583191406E+04          1.4249088447E-01          4.2042433052E+02          4.2325782357E+02          1.9662814193E+00          1.9770266354E+00          4.2913113901E-01          
2024-05-15                21:54:30.000              135.57951389              3253.908333               136.57951389              1715810070.000            0                         963                       1.3999892073E+02          4.4999066139E+01          3.6562500000E+01          4.5116655378E+01          4.5000558540E+01          0.0000000000E+00          3.3581667531E+04          1.4160528000E-01          4.2045574517E+02          4.2316437802E+02          1.9662854699E+00          1.9768991533E+00          4.2237705809E-01          
2024-05-15                21:54:35.000              135.57957176              3253.909722               136.57957176              1715810075.000            0                         963                       1.3999768066E+02          4.4998649597E+01          3.6562500000E+01          4.5116905212E+01          4.5000633240E+01          0.0000000000E+00          3.3580757812E+04          1.3885963305E-01          4.2044049889E+02          4.2317381998E+02          1.9667450078E+00          1.9772611761E+00          4.1993682085E-01          
2024-05-15                21:54:40.000              135.57962963              3253.911111               136.57962963              1715810080.000            0                         963                       1.4000025849E+02          4.4998686036E+01          3.6501865672E+01          4.5116906123E+01          4.5000638706E+01          0.0000000000E+00          3.3582194671E+04          1.3320004665E-01          4.2035766283E+02          4.2312201004E+02          1.9664776702E+00          1.9771771106E+00          4.1738134723E-01          
2024-05-15                21:54:45.000              135.57968750              3253.912500               136.57968750              1715810085.000            0                         963                       1.3999900818E+02          4.4998954773E+01          3.6562500000E+01          4.5116752625E+01          4.5000724792E+01          0.0000000000E+00          3.3582226562E+04          1.4045449817E-01          4.2037401382E+02          4.2309807600E+02          1.9668712309E+00          1.9772938089E+00          4.1384276999E-01          
2024-05-15                21:54:50.000              135.57974537              3253.913889               136.57974537              1715810090.000            0                         963                       1.4000032598E+02          4.4999863044E+01          3.6562500000E+01          4.5116720186E+01          4.5000724792E+01          0.0000000000E+00          3.3581085500E+04          1.4118928026E-01          4.2034670250E+02          4.2305796263E+02          1.9667829318E+00          1.9769660047E+00          4.1327498040E-01          
