DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2024-05-05                05:50:20.000              124.90995370              2997.838889               125.90995370              1714888220.000            0                         963                       1.3999885559E+02          4.4998832703E+01          3.4687500000E+01          4.5116477966E+01          4.4999382019E+01          0.0000000000E+00          3.4204855469E+04          1.3733375625E-01          4.4803887889E+02          4.5312920414E+02          2.0055283078E+00          2.0244192261E+00          7.2450333542E-01          
2024-05-05                05:50:25.000              124.91001157              2997.840278               125.91001157              1714888225.000            0                         963                       1.3999983215E+02          4.4998649597E+01          3.4687500000E+01          4.5116600037E+01          4.4999443054E+01          0.0000000000E+00          3.4205113281E+04          1.4308613632E-01          4.4692455416E+02          4.5199925655E+02          2.0047366782E+00          2.0234510547E+00          7.2368489203E-01          
2024-05-05                05:50:30.000              124.91006944              2997.841667               125.91006944              1714888230.000            0                         963                       1.4000155640E+02          4.4999137878E+01          3.4625000000E+01          4.5116386414E+01          4.4999443054E+01          0.0000000000E+00          3.4205460938E+04          1.3704879792E-01          4.4586767659E+02          4.5093358932E+02          2.0042144185E+00          2.0228216092E+00          7.2397648406E-01          
2024-05-05                05:50:35.000              124.91012731              2997.843056               125.91012731              1714888235.000            0                         963                       1.3999948120E+02          4.4999961853E+01          3.4687500000E+01          4.5116447449E+01          4.4999382019E+01          0.0000000000E+00          3.4205222656E+04          1.3400640839E-01          4.4519931565E+02          4.5036476946E+02          2.0033871543E+00          2.0219873607E+00          7.2266673458E-01          
2024-05-05                05:50:40.000              124.91018519              2997.844444               125.91018519              1714888240.000            0                         963                       1.3999976501E+02          4.5000035095E+01          3.4687500000E+01          4.5116575623E+01          4.4999528503E+01          0.0000000000E+00          3.4205721094E+04          1.3474319070E-01          4.4435185296E+02          4.4967142035E+02          2.0031951040E+00          2.0217662671E+00          7.2275241478E-01          
2024-05-05                05:50:45.000              124.91024306              2997.845833               125.91024306              1714888245.000            0                         963                       1.3999617004E+02          4.5001640320E+01          3.4687500000E+01          4.5116691589E+01          4.4999626160E+01          0.0000000000E+00          3.4203875000E+04          1.4110676468E-01          4.4316088822E+02          4.4874560467E+02          2.0027235301E+00          2.0212541779E+00          7.2077651981E-01          
2024-05-05                05:50:50.000              124.91030093              2997.847222               125.91030093              1714888250.000            0                         963                       1.4000055034E+02          4.5001329450E+01          3.4687500000E+01          4.5116682707E+01          4.4999661688E+01          0.0000000000E+00          3.4204050956E+04          1.4990976884E-01          4.4221871852E+02          4.4759484242E+02          2.0019876862E+00          2.0205711799E+00          7.2208217771E-01          
2024-05-05                05:50:55.000              124.91035880              2997.848611               125.91035880              1714888255.000            0                         963                       1.3999762578E+02          4.5000914730E+01          3.4687500000E+01          4.5116682480E+01          4.4999641191E+01          0.0000000000E+00          3.4204106693E+04          1.3963420675E-01          4.4183472271E+02          4.4691605669E+02          2.0018682576E+00          2.0203284985E+00          7.2172760340E-01          
2024-05-05                05:51:00.000              124.91041667              2997.850000               125.91041667              1714888260.000            0                         963                       1.3999996948E+02          4.5001274109E+01          3.4625000000E+01          4.5116691589E+01          4.4999778748E+01          0.0000000000E+00          3.4204765625E+04          1.3561106117E-01          4.4177730948E+02          4.4677630436E+02          2.0020081886E+00          2.0205313552E+00          7.1954417751E-01          
2024-05-05                05:51:05.000              124.91047454              2997.851389               125.91047454              1714888265.000            0                         963                       1.3999699402E+02          4.5000083923E+01          3.4625000000E+01          4.5116752625E+01          4.4999748230E+01          0.0000000000E+00          3.4203351562E+04          1.2607514215E-01          4.4158161345E+02          4.4657514422E+02          2.0024974241E+00          2.0203513991E+00          7.2202257790E-01          
2024-05-05                05:51:10.000              124.91053241              2997.852778               125.91053241              1714888270.000            0                         963                       1.4000042906E+02          4.4999960999E+01          3.4687500000E+01          4.5116793599E+01          4.4999816521E+01          0.0000000000E+00          3.4204579518E+04          1.3484998605E-01          4.4142594747E+02          4.4640695791E+02          2.0017987147E+00          2.0203162733E+00          7.1971019038E-01          
2024-05-05                05:51:15.000              124.91059028              2997.854167               125.91059028              1714888275.000            0                         963                       1.3999995188E+02          4.4999106294E+01          3.4678321678E+01          4.5116792105E+01          4.5000109106E+01          0.0000000000E+00          3.4204169854E+04          1.3539046290E-01          4.4121723624E+02          4.4620025794E+02          2.0018234881E+00          2.0205076931E+00          7.2111330053E-01          
2024-05-05                05:51:20.000              124.91064815              2997.855556               125.91064815              1714888280.000            0                         963                       1.3999937076E+02          4.4999158579E+01          3.4687500000E+01          4.5116832653E+01          4.5000095447E+01          0.0000000000E+00          3.4203398738E+04          1.4580899706E-01          4.4088194932E+02          4.4585820423E+02          2.0019390327E+00          2.0201311080E+00          7.2007980678E-01          
2024-05-05                05:51:25.000              124.91070602              2997.856944               125.91070602              1714888285.000            0                         963                       1.4000018311E+02          4.4999198914E+01          3.4687500000E+01          4.5116844177E+01          4.5000083923E+01          0.0000000000E+00          3.4203714844E+04          1.3785863773E-01          4.4053017062E+02          4.4550277302E+02          2.0015549407E+00          2.0202392668E+00          7.1964991396E-01          
2024-05-05                05:51:30.000              124.91076389              2997.858333               125.91076389              1714888290.000            0                         963                       1.3999951119E+02          4.4999778748E+01          3.4687500000E+01          4.5116905212E+01          4.5000144958E+01          0.0000000000E+00          3.4203916494E+04          1.4066474137E-01          4.4037027813E+02          4.4533660929E+02          2.0014741511E+00          2.0200386006E+00          7.1889518055E-01          
2024-05-05                05:51:35.000              124.91082176              2997.859722               125.91082176              1714888295.000            0                         963                       1.3999919715E+02          4.4999534607E+01          3.4687500000E+01          4.5116966248E+01          4.5000053406E+01          0.0000000000E+00          3.4202908080E+04          1.3725505635E-01          4.4021841080E+02          4.4518581631E+02          2.0014723824E+00          2.0196248434E+00          7.1978700821E-01          
2024-05-05                05:51:40.000              124.91087963              2997.861111               125.91087963              1714888300.000            0                         963                       1.4000038147E+02          4.5000999451E+01          3.4687500000E+01          4.5117057800E+01          4.5000053406E+01          0.0000000000E+00          3.4203484375E+04          1.3190320125E-01          4.4010212136E+02          4.4507382355E+02          2.0008311965E+00          2.0197546626E+00          7.2034416636E-01          
