Target CO2 [ppm],MFC Set Point w/ 3003 ppm CO2 [lpm],MFC Set Point w/ 0 ppm CO2 [lpm],MFC Set Point w/ 3003 ppm CO2 [slpm],MFC Set Point w/ 0 ppm CO2 [slpm]
398.338278621727,0.0137541666666667,0.089936,0.0152908537966288,0.0706975195605127
444.072475825392,0.0269581666666667,0.155344,0.0281065385486428,0.125140669219244
504.396428026255,0.0049515,0.024528,0.00674706396195283,0.0162543699017813
549.557034297302,0.0445635,0.198949333333333,0.0451941182179948,0.161436102325065
602.155430642248,0.0225568333333333,0.089936,0.0238346436313048,0.0706975195605127
669.430564135913,0.0445635,0.155344,0.0451941182179948,0.125140669219244
728.068790063695,0.0357608333333333,0.111738666666667,0.0366503283833188,0.0888452361134232
828.980746242959,0.00935283333333333,0.024528,0.0110189588792908,0.0162543699017813
927.046011409333,0.0401621666666667,0.089936,0.0409222233006568,0.0706975195605127
994.979092859081,0.0445635,0.089936,0.0451941182179948,0.0706975195605127
